Artist,8,,,,,,
id,creator,date_created,last_modified,first_name,last_name,description,work
1,User:1,2009.10.09.14.20.48 -0700,2009.10.13.12.45.40 -0700,Milton,Avery,NULL,"[Inventory:1,Inventory:2,Inventory:3,Inventory:7,Inventory:8,Inventory:9]"
7,User:1,2009.10.13.12.56.16 -0700,2011.04.14.10.57.20 -0700,Giorgio,Cavallon,NULL,"[Inventory:13,Inventory:220]"
11,User:1,2009.10.13.13.26.02 -0700,2009.10.13.13.26.02 -0700,Marsden,Hartley,NULL,[Inventory:19]
13,User:1,2009.10.13.13.33.57 -0700,2009.10.13.13.33.57 -0700,Hans,Hofmann,NULL,"[Inventory:22,Inventory:23,Inventory:24]"
14,User:1,2009.10.13.13.36.11 -0700,2013.07.25.11.02.00 -0700,Howard,Hodgkin,NULL,"[Inventory:337,Inventory:338,Inventory:25,Inventory:192]"
15,User:1,2009.10.13.13.42.31 -0700,2013.01.30.16.10.17 -0800,Patrick,Heron,NULL,"[Inventory:327,Inventory:26,Inventory:228,Inventory:229]"
16,User:1,2009.10.13.13.44.07 -0700,2011.04.15.16.25.30 -0700,Franz,Kline,NULL,"[Inventory:27,Inventory:233]"
17,User:1,2009.10.13.13.45.34 -0700,2010.11.19.15.07.42 -0800,Masatoyo,Kishi,NULL,"[Inventory:28,Inventory:177,Inventory:178]"
18,User:1,2009.10.13.13.48.05 -0700,2013.12.18.12.46.16 -0800,Frank,Lobdell,NULL,"[Inventory:29,Inventory:30,Inventory:113,Inventory:180,Inventory:181,Inventory:378]"
19,User:1,2009.10.13.13.50.08 -0700,2011.04.15.16.33.11 -0700,Manolo,Millares,NULL,"[Inventory:31,Inventory:235,Inventory:236]"
24,User:1,2009.10.13.14.00.17 -0700,2013.01.30.16.10.47 -0800,Manuel,Neri,NULL,"[Inventory:328,Inventory:36,Inventory:37,Inventory:38,Inventory:107,Inventory:108,Inventory:109]"
25,User:1,2009.10.13.14.05.35 -0700,2010.08.11.16.54.02 -0700,Kenzo,Okada,NULL,"[Inventory:39,Inventory:112]"
28,User:1,2009.10.13.14.19.38 -0700,2013.09.25.14.57.20 -0700,Raimonds,Staprans,NULL,"[Inventory:376,Inventory:375,Inventory:176,Inventory:211,Inventory:350,Inventory:351,Inventory:355,Inventory:361,Inventory:362]"
31,User:1,2009.10.13.14.26.23 -0700,2013.04.04.16.35.11 -0700,Brian,Wall,NULL,"[Inventory:333,Inventory:66,Inventory:182,Inventory:352,Inventory:353]"
56,User:1,2009.10.28.11.02.21 -0700,2011.12.21.10.34.06 -0800,David,Park,NULL,"[Inventory:41,Inventory:43,Inventory:44,Inventory:45,Inventory:46,Inventory:48,Inventory:47,Inventory:50,Inventory:51,Inventory:103,Inventory:104,Inventory:105]"
60,User:1,2009.10.28.11.04.04 -0700,2010.08.11.17.00.17 -0700,Robert,Schwartz,NULL,"[Inventory:71,Inventory:72,Inventory:73,Inventory:117]"
65,User:1,2009.10.28.11.05.47 -0700,2013.01.30.16.17.55 -0800,Emilio,Vedova,NULL,"[Inventory:332,Inventory:265]"
68,User:1,2010.06.06.14.33.32 -0700,2013.08.21.13.36.25 -0700,Jules,Olitski,NULL,"[Inventory:92,Inventory:79,Inventory:80,Inventory:90,Inventory:120,Inventory:121,Inventory:122,Inventory:123]"
70,User:1,2010.08.11.16.46.10 -0700,2014.02.05.10.45.37 -0800,Emerson,Woelffer,NULL,"[Inventory:106,Inventory:310]"
71,User:1,2010.08.11.16.56.18 -0700,2012.03.22.12.28.18 -0700,Herbert,Ferber,NULL,[Inventory:224]
73,User:1,2011.06.23.16.35.14 -0700,2011.06.23.16.47.02 -0700,David,Beck,NULL,"[Inventory:275,Inventory:276]"
75,User:1,2012.12.03.13.00.39 -0800,2012.12.03.13.00.39 -0800,Elmer,Bischoff,NULL,NULL
76,User:1,2012.12.03.13.01.15 -0800,2013.05.07.11.15.20 -0700,Joan,Brown,NULL,[Inventory:356]
77,User:1,2012.12.03.13.02.06 -0800,2013.05.07.11.18.18 -0700,Robert,"De Niro, Sr.",NULL,[Inventory:357]
78,User:1,2012.12.03.13.02.26 -0800,2013.07.25.11.02.20 -0700,Richard,Diebenkorn,NULL,[]
79,User:1,2012.12.03.13.03.12 -0800,2013.05.07.11.20.46 -0700,Edward,Dugmore,NULL,[Inventory:358]
80,User:1,2012.12.03.13.03.31 -0800,2012.12.03.13.03.31 -0800,Helen,Frankenthaler,NULL,NULL
81,User:1,2012.12.03.13.03.50 -0800,2012.12.03.13.03.50 -0800,Lee,Krasner,NULL,NULL
82,User:1,2012.12.03.13.04.16 -0800,2013.01.30.16.14.11 -0800,Conrad,Marca-Relli,NULL,[Inventory:324]
83,User:1,2012.12.03.13.09.38 -0800,2013.07.25.10.45.04 -0700,Joan,Mitchell,NULL,[]
84,User:1,2012.12.03.13.10.02 -0800,2013.01.30.16.08.09 -0800,Robert,Motherwell,NULL,[Inventory:322]
85,User:1,2012.12.03.13.10.21 -0800,2013.05.07.11.23.56 -0700,Nathan,Oliveira,NULL,[Inventory:359]
86,User:1,2012.12.03.13.10.43 -0800,2013.05.07.17.05.52 -0700,Kazuo,Shiraga,NULL,[Inventory:360]
87,User:1,2012.12.03.13.11.07 -0800,2013.01.30.16.13.09 -0800,Esteban,Vicente,NULL,[Inventory:330]
88,User:1,2013.01.30.16.26.58 -0800,2013.01.30.16.26.58 -0800,Jack,Tworkov,NULL,[Inventory:323]
90,User:1,2013.12.02.17.06.54 -0800,2013.12.02.17.06.54 -0800,Willem,de Kooning,NULL,NULL
91,User:1,2013.12.02.17.10.11 -0800,2013.12.02.17.10.11 -0800,Louise,Nevelson,NULL,NULL
92,User:1,2013.12.02.17.10.38 -0800,2013.12.02.17.10.38 -0800,Adolph,Gottlieb,NULL,NULL
93,User:1,2013.12.02.17.10.54 -0800,2013.12.02.17.10.54 -0800,David,Hockney,NULL,NULL
94,User:1,2013.12.02.17.11.09 -0800,2013.12.02.17.11.09 -0800,Wayne,Thiebaud,NULL,NULL
95,User:1,2013.12.02.17.11.24 -0800,2013.12.02.17.11.24 -0800,Paul,Wonner,NULL,NULL
96,User:1,2013.12.02.17.11.36 -0800,2013.12.02.17.11.36 -0800,James,Weeks,NULL,NULL
97,User:1,2013.12.02.17.12.11 -0800,2013.12.02.17.12.11 -0800,Theophilus,Brown,NULL,NULL
98,User:1,2013.12.02.17.12.45 -0800,2013.12.02.17.12.45 -0800,Lee,Bontecou,NULL,NULL