Exhibition,14,,,,,,,,,,,,
id,creator,date_created,last_modified,images,title,start_date,end_date,opening_date,opening_length,catalog,essay,subtitle,published
3,User:1,2010.08.04.12.52.57 -0700,2012.01.05.14.48.35 -0800,"[Inventory:79,Inventory:80,Inventory:81,Inventory:88,Inventory:89,Inventory:90,Inventory:91,Inventory:92,Inventory:75,Inventory:94,Inventory:95,Inventory:96]","JULES OLITSKI, Embracing Circles",2010.07.09.16.04.59 -0700,2010.10.01.16.05.03 -0700,2010.08.18.16.05.12 -0700,3.0,Catalog:3,[Essay:3],NULL,true
4,User:1,2010.08.04.14.11.33 -0700,2010.08.16.12.16.27 -0700,"[Inventory:35,Inventory:80,Inventory:111,Inventory:112,Inventory:115,Inventory:114,Inventory:116,Inventory:109,Inventory:113,Inventory:110,Inventory:45,Inventory:106,Inventory:100,Inventory:102,Inventory:101,Inventory:104,Inventory:103,Inventory:108,Inventory:105,Inventory:107,Inventory:117,Inventory:118]",T R A N S C E N D E N T,2010.04.09.14.11.38 -0700,2010.07.02.13.24.04 -0700,NULL,NULL,NULL,NULL,NULL,true
6,User:1,2010.10.04.14.15.31 -0700,2011.06.08.17.30.32 -0700,"[Inventory:152,Inventory:154,Inventory:156,Inventory:157,Inventory:158,Inventory:159,Inventory:160,Inventory:161,Inventory:162,Inventory:163,Inventory:164,Inventory:165,Inventory:169,Inventory:170,Inventory:171]","MANUEL NERI, COLLAGE, 1958-1960",2010.10.08.14.09.29 -0700,2010.12.23.14.09.29 -0800,NULL,NULL,NULL,NULL,NULL,true
10,User:1,2011.01.05.11.46.41 -0800,2011.01.07.18.06.39 -0800,"[Inventory:187,Inventory:188,Inventory:189,Inventory:190,Inventory:191]","FRANK LOBDELL, '1948 - 1949'",2011.01.07.11.43.46 -0800,2011.04.01.11.43.46 -0700,NULL,NULL,NULL,NULL,NULL,true
11,User:1,2011.03.15.11.30.44 -0700,2011.07.07.12.42.34 -0700,"[Inventory:214,Inventory:206,Inventory:207,Inventory:213,Inventory:288,Inventory:217,Inventory:216,Inventory:218,Inventory:291,Inventory:289,Inventory:290]",RAIMONDS STAPRANS 'PAINTINGS',2011.04.08.11.24.44 -0700,2011.07.08.11.24.44 -0700,NULL,NULL,NULL,NULL,,true
12,User:1,2011.07.07.11.30.29 -0700,2011.07.27.15.09.01 -0700,"[Inventory:278,Inventory:279,Inventory:280,Inventory:281,Inventory:282,Inventory:283,Inventory:284,Inventory:285,Inventory:286,Inventory:292]",BRIAN WALL 'SPATIAL PLANES: 1957-1966',2011.07.15.11.30.50 -0700,2011.09.30.11.30.50 -0700,NULL,NULL,NULL,NULL,NULL,true
13,User:1,2011.09.28.14.52.50 -0700,2011.10.14.11.33.33 -0700,"[Inventory:293,Inventory:294,Inventory:295,Inventory:299,Inventory:300,Inventory:301,Inventory:302,Inventory:303,Inventory:306,Inventory:307,Inventory:308,Inventory:309]",SYMBIOSIS: CONVERSATIONS BETWEEN EAST AND WEST,2011.10.07.15.53.47 -0700,2011.12.23.15.53.47 -0800,NULL,NULL,NULL,NULL,,true
14,User:1,2012.01.05.14.50.52 -0800,2013.05.15.14.00.08 -0700,[Inventory:363],MOMENTUM OF A MOVEMENT,2012.01.06.15.20.12 -0800,2012.05.31.15.20.12 -0700,NULL,NULL,NULL,NULL,,true
15,User:1,2012.04.26.09.07.08 -0700,2012.04.26.12.21.06 -0700,[],ArtMRKT San Francisco 2012 ,2012.05.17.09.57.27 -0700,2012.05.20.09.57.27 -0700,NULL,NULL,NULL,[],"Concourse Exhibition Center, Booth #303",true
17,User:1,2012.09.14.17.15.54 -0700,2012.09.14.17.18.59 -0700,NULL,Art Platform- Los Angeles 2012,2012.09.28.17.15.03 -0700,2012.09.30.17.15.03 -0700,NULL,NULL,NULL,NULL,"Barker Hangar, Santa Monica Booth # 509",true
18,User:1,2012.10.04.15.22.43 -0700,2012.10.04.15.24.18 -0700,NULL,DAVID BECK AND ROBERT SCHWARTZ,2012.07.13.15.22.10 -0700,2012.10.04.15.22.10 -0700,NULL,NULL,NULL,NULL,NULL,true
20,User:1,2012.12.18.14.59.11 -0800,2013.02.01.15.54.58 -0800,"[Inventory:322,Inventory:323,Inventory:324,Inventory:325,Inventory:326,Inventory:327,Inventory:328,Inventory:329,Inventory:330,Inventory:331,Inventory:332,Inventory:333,Inventory:334,Inventory:335,Inventory:336,Inventory:337,Inventory:338,Inventory:346,Inventory:347,Inventory:348]",DEFYING GRAVITY: The Subject of Space,2013.02.22.08.26.17 -0800,2013.06.28.08.26.17 -0700,NULL,NULL,NULL,[],"Opening Reception: Friday, February 22, 5:00 - 7:00 pm",true
24,User:1,2013.08.20.14.11.50 -0700,2013.12.20.16.48.24 -0800,"[Inventory:367,Inventory:369,Inventory:370,Inventory:371,Inventory:372,Inventory:373,Inventory:374]",Jules Olitski Colorness: The Early Spray Paintings 1965 to 1969,2013.10.18.14.15.09 -0700,2014.01.31.14.15.09 -0800,NULL,NULL,NULL,[],,true
25,User:1,2013.10.17.16.36.21 -0700,2013.10.17.16.38.30 -0700,"[Inventory:57,Inventory:228]",FORMS of FLIGHT,2013.07.19.16.36.46 -0700,2013.09.27.16.36.46 -0700,NULL,NULL,NULL,NULL,NULL,true
26,User:1,2013.11.07.16.06.06 -0800,2013.11.07.16.06.06 -0800,[Inventory:377],"Manuel Neri, Working in Marble, A Selection from the Carrara Studio",2014.02.07.16.07.00 -0800,2014.05.09.16.07.00 -0700,NULL,NULL,NULL,NULL,NULL,true